Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
145,"Scenario: BAA, Permitted Use, and Minimum Necessary: A Business Associate (BA) processes claims for CE X. The BAA permits data aggregation services. Alice, a BA employee, needs to review claims fields but accesses Ms. Smith’s entire therapy notes.",,,,"If the BAA is terminated, what action must the contract require the BA to take concerning the PHI maintained on behalf of the CE, if feasible?",A. Retain copies for six years for audit purposes.B. Only use the PHI for the BA’s own proper management.C. Return or destroy all PHI maintained in any form and retain no copies.D. Transfer the PHI only to the Secretary of HHS.,,,C. Return or destroy all PHI maintained in any form and retain no copies.,,,,,,,,,,,,,,"The BAA must require the BA to return or destroy all PHI maintained in any form at termination, if feasible, and retain no copies.",,,§ 164.504(e)(2)(ii)(J),,Business Associates,,,,Privacy Rule,,,,,Business associates – privacy,,,,,,,,,Privacy requirements to disclose PHI to BAs only under compliant contracts.,,,,,
146,Scenario: Subcontractors and Downstream Liability: Your BA organization contracts with Subcontractor Y for data archival. Subcontractor Y stores data on its cloud. A BA employee notices Subcontractor Y is violating security standards.,,,,"Before engaging Subcontractor Y, what must your organization (the BA) obtain from Y?",A. A formal risk analysis report.B. Satisfactory assurances that the subcontractor will appropriately safeguard the information.C. A complete list of all CE clients.D. Written permission from the CE client.,,,B. Satisfactory assurances that the subcontractor will appropriately safeguard the information.,,,,,,,,,,,,,,A BA may permit a subcontractor BA to handle PHI only if the BA obtains satisfactory assurances that the subcontractor will appropriately safeguard the info.,,,§ 164.502(e)(1)(ii),,Business Associates,,,,Privacy Rule,,,,,Business associates – privacy,,,,,,,,,Privacy requirements to disclose PHI to BAs only under compliant contracts.,,,,,
147,Scenario: Subcontractors and Downstream Liability: Your BA organization contracts with Subcontractor Y for data archival. Subcontractor Y stores data on its cloud. A BA employee notices Subcontractor Y is violating security standards.,,,,"If the BA knew of a pattern of material breach by Subcontractor Y, and steps to cure were unsuccessful, what must the BA do?","A. Notify the CE and the Secretary of the violation.B. Terminate the contract or arrangement, if feasible.C. Conduct a new risk analysis.D. Provide additional training to Subcontractor Y’s workforce.",,,"B. Terminate the contract or arrangement, if feasible.",,,,,,,,,,,,,,"A BA must take reasonable steps to cure a material breach by a subcontractor and, if unsuccessful, terminate the contract, if feasible.",,,§ 164.504(e)(1)(iii),,Business Associates,,,,Privacy Rule,,,,,Business associates – privacy,,,,,,,,,Privacy requirements to disclose PHI to BAs only under compliant contracts.,,,,,
148,Scenario: Subcontractors and Downstream Liability: Your BA organization contracts with Subcontractor Y for data archival. Subcontractor Y stores data on its cloud. A BA employee notices Subcontractor Y is violating security standards.,,,,The BA must ensure that Subcontractor Y agrees to comply with which HIPAA subpart for electronic PHI?,A. Subpart D (Breach Notification).B. Subpart E (Privacy).C. Subpart C (Security Standards).D. Subpart A (General Provisions).,,,C. Subpart C (Security Standards).,,,,,,,,,,,,,,The contract must provide that the subcontractor agrees to comply with the applicable requirements of Subpart C (Security Rules).,,,§ 164.314(a)(2)(i)(B),,Business Associates,,,,Security Rule,,,,,BA and subcontractor security assurances,,,,,,,,,Written contracts/arrangements requiring BAs and their subcontractors to safeguard ePHI.,,,,,
149,Scenario: Subcontractors and Downstream Liability: Your BA organization contracts with Subcontractor Y for data archival. Subcontractor Y stores data on its cloud. A BA employee notices Subcontractor Y is violating security standards.,,,,"If Subcontractor Y discloses PHI for its own management (per BAA), Y must obtain reasonable assurances that the recipient will notify Y of:",A. The full audit log review results.B. Any instances in which the confidentiality of the info has been breached.C. Changes in Subcontractor Y’s IT infrastructure.D. Completion of HIPAA training.,,,B. Any instances in which the confidentiality of the info has been breached.,,,,,,,,,,,,,,"When disclosing PHI for its own management, the BA must obtain assurances of confidentiality and that the recipient will notify the BA of any confidentiality breaches.",,,§ 164.504(e)(4)(ii)(B)(2),,Business Associates,,,,Privacy Rule,,,,,Business associates – privacy,,,,,,,,,Privacy requirements to disclose PHI to BAs only under compliant contracts.,,,,,
150,Scenario: Subcontractors and Downstream Liability: Your BA organization contracts with Subcontractor Y for data archival. Subcontractor Y stores data on its cloud. A BA employee notices Subcontractor Y is violating security standards.,,,,"If Subcontractor Y fails to protect ePHI, who is primarily liable for a Civil Money Penalty (CMP) for that violation under Federal law?","A. Only the CE.B. Only the workforce member responsible.C. The BA, in addition to the subcontractor itself.D. Only the Privacy Official.",,,"C. The BA, in addition to the subcontractor itself.",,,,,,,,,,,,,,"A BA is liable for a CMP for a violation based on the act or omission of any agent (subcontractor), acting within the scope of agency.",,,§ 160.402(c)(2),,Business Associates,,,,General Requirement,,,,,Imposition of Civil Money Penalties,,,,,,,,,Factors considered in determining the amount of a civil money penalty.,,,,,
151,"Scenario: Whistleblowers and Patient Safety: A workforce member believes in good faith that the clinic is engaging in conduct that is unlawful, violates professional standards, or potentially endangers patients. The member decides to disclose PHI to an attorney to determine legal options.",,,"If a workforce member discloses PHI to an attorney under these circumstances, this disclosure:",,A. Is a violation of the Privacy Rule.B. Requires prior patient authorization.C. Is protected under the whistleblower provisions.D. Is permitted only if the disclosure is made to the media.,,,C. Is protected under the whistleblower provisions.,,,,,,,,,,,,,,"A covered entity is not considered to have violated the Privacy Rule if a workforce member discloses PHI to an attorney to determine legal options regarding conduct believed in good faith to be unlawful or dangerous,,.",,,§ 164.502(j)(1),,"Clinical, All Staff, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
152,"Scenario: Whistleblowers and Patient Safety: A workforce member believes in good faith that the clinic is engaging in conduct that is unlawful, violates professional standards, or potentially endangers patients. The member decides to disclose PHI to an attorney to determine legal options.",,,"To qualify for whistleblower protection when disclosing to a health oversight agency, the workforce member must believe in good faith that the entity:",,A. Failed to pay overtime wages.B. Is engaging in conduct that violates clinical standards or endangers the public.C. Has not updated its Notice of Privacy Practices.D. Is using outdated encryption software.,,,B. Is engaging in conduct that violates clinical standards or endangers the public.,,,,,,,,,,,,,,"The disclosure is permitted if the member believes the entity has engaged in conduct that is unlawful, violates professional standards, or endangers patients, workers, or the public,.",,,§ 164.502(j)(1)(i),,"Clinical, All Staff, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
153,"Scenario: Whistleblowers and Patient Safety: A workforce member believes in good faith that the clinic is engaging in conduct that is unlawful, violates professional standards, or potentially endangers patients. The member decides to disclose PHI to an attorney to determine legal options.",,,HIPAA prohibits an organization from taking which action against a member of the workforce who files a complaint or reports a violation in good faith?,,A. Mandatory retraining.B. Performance reviews.C. Intimidating or retaliatory acts.D. Internal audits of their access logs.,,,C. Intimidating or retaliatory acts.,,,,,,,,,,,,,,"A covered entity may not intimidate, threaten, coerce, discriminate against, or take other retaliatory action against any individual for exercising any right or participating in any process provided for by HIPAA,.",,,"§ 164.530(g), § 160.316",,"Clinical, All Staff, Management",,,,Privacy Rule,,,,,Antiretaliation,,,Prohibition on intimidating or retaliatory acts against individuals for exercising HIPAA rights or filing complaints.,,,,,,,,,,,
154,"Scenario: Whistleblowers and Patient Safety: A workforce member believes in good faith that the clinic is engaging in conduct that is unlawful, violates professional standards, or potentially endangers patients. The member decides to disclose PHI to an attorney to determine legal options.",,,"If an employee believes their privacy rights were violated and brings the concern to the Privacy Official, the organization's primary obligation is to:",,A. Immediately terminate the involved staff.B. Offer a financial settlement.C. Ensure no retaliation and investigate the concern.D. Wait for an OCR subpoena before acting.,,,C. Ensure no retaliation and investigate the concern.,,,,,,,,,,,,,,"The organization must provide a process for complaints, document all dispositions, and refrain from any retaliatory acts against the complainant,,.",,,"§ 164.530(d), § 164.530(g)",,"All Staff, Management",,,,Privacy Rule,,,,,Complaint process and documentation,,,Requirement to provide a process to receive complaints about privacy/breach compliance and document all complaints and dispositions.,,,,,,,,,,,
155,"Scenario: Whistleblowers and Patient Safety: A workforce member believes in good faith that the clinic is engaging in conduct that is unlawful, violates professional standards, or potentially endangers patients. The member decides to disclose PHI to an attorney to determine legal options.",,,The whistleblower provision protecting disclosures to an attorney is intended to allow a workforce member to:,,A. Sell the information for legal profit.B. Determine their legal options regarding the suspected misconduct.C. Publicly leak information to news reporters.D. Bypass the organization's internal compliance officer.,,,B. Determine their legal options regarding the suspected misconduct.,,,,,,,,,,,,,,"The disclosure is specifically permitted to an attorney for the purpose of determining the legal options of the workforce member regarding the suspected unlawful conduct,.",,,§ 164.502(j)(1)(ii)(B),,"Clinical, All Staff, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
156,Scenario: Research Protocol Review: A researcher requests access to PHI solely to review records necessary to prepare a research protocol. No PHI will be removed from the organization's premises during this review.,,,"To disclose PHI to the researcher for this purpose without an individual authorization, the organization must obtain representations that:",,A. The PHI will be destroyed after the review.B. The review is for payment purposes.C. No PHI is to be removed from the covered entity by the researcher.D. The researcher has a valid BAA with the clinic.,,,C. No PHI is to be removed from the covered entity by the researcher.,,,,,,,,,,,,,,"For reviews preparatory to research, the entity must obtain representations that the use is sought solely for the protocol and no PHI will be removed from the entity,,.",,,§ 164.512(i)(1)(ii)(B),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
157,Scenario: Research Protocol Review: A researcher requests access to PHI solely to review records necessary to prepare a research protocol. No PHI will be removed from the organization's premises during this review.,,,Which body must provide documentation of an alteration to or waiver of the individual authorization for a larger research study that goes beyond a preparatory review?,,A. The CEO of the clinic.B. An Institutional Review Board (IRB) or a Privacy Board.C. The local law enforcement agency.D. The billing department.,,,B. An Institutional Review Board (IRB) or a Privacy Board.,,,,,,,,,,,,,,"A covered entity may use or disclose PHI for research if it obtains documentation that a waiver of authorization has been approved by an IRB or a Privacy Board,,.",,,§ 164.512(i)(1)(i),,"Clinical, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
158,Scenario: Research Protocol Review: A researcher requests access to PHI solely to review records necessary to prepare a research protocol. No PHI will be removed from the organization's premises during this review.,,,Documentation of a waiver approval for research must include a statement that the IRB or Privacy Board has determined the research involves:,,A. High financial risk to the entity.B. No more than a minimal risk to the privacy of individuals.C. Only deceased individuals' information.D. Only psychotherapy notes.,,,B. No more than a minimal risk to the privacy of individuals.,,,,,,,,,,,,,,"The IRB or Privacy Board must determine that the use of PHI involves no more than a minimal risk to privacy based on an adequate plan to protect identifiers,.",,,§ 164.512(i)(2)(ii)(A),,"Clinical, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
159,Scenario: Research Protocol Review: A researcher requests access to PHI solely to review records necessary to prepare a research protocol. No PHI will be removed from the organization's premises during this review.,,,"If a researcher seeks PHI specifically for research on deceased individuals, the covered entity must obtain:",,A. A court order signed by a judge.B. Written authorization from the deceased's next of kin.C. Representation that the PHI is necessary for the research and documentation of death if requested.D. A BAA signed by the researcher.,,,C. Representation that the PHI is necessary for the research and documentation of death if requested.,,,,,,,,,,,,,,"For research on decedents, the entity must obtain representations that the use is solely for that purpose and the PHI is necessary for the research,.",,,§ 164.512(i)(1)(iii),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
160,Scenario: Research Protocol Review: A researcher requests access to PHI solely to review records necessary to prepare a research protocol. No PHI will be removed from the organization's premises during this review.,,,"When disclosing PHI to a researcher for research purposes (including preparatory reviews), the Minimum Necessary standard:",,"A. Does not apply.B. Applies only to the researchers themselves.C. Applies, but the entity may rely on the researcher's representations or the IRB's documentation.D. Requires the removal of all 18 identifiers.",,,"C. Applies, but the entity may rely on the researcher's representations or the IRB's documentation.",,,,,,,,,,,,,,"The organization may rely on representations or documentation that comply with research requirements as meeting the Minimum Necessary standard,.",,,§ 164.514(d)(3)(iii)(D),,Clinical Staff,,,,Privacy Rule,,,,,Minimum necessary: disclosures,,,Policies to limit routine and nonroutine disclosures to the minimum necessary: reliance rules for certain requestors.,,,,,,,,,,,
161,"Scenario: Litigation and Subpoenas: A covered entity receives a subpoena for a patient's medical records for use in a civil case. The subpoena is not accompanied by a court order, and the patient has not provided a written authorization.",,,"Before disclosing the PHI in response to the subpoena, the organization must receive satisfactory assurance that the party seeking the info has:",,"A. Paid the reasonable, cost-based fee.B. Provided notice to the individual or made reasonable efforts to secure a qualified protective order.C. Obtained a waiver from the Secretary of HHS.D. Certified that the information is relevant to public health.",,,B. Provided notice to the individual or made reasonable efforts to secure a qualified protective order.,,,,,,,,,,,,,,"If a subpoena is not accompanied by a court order, the entity must receive satisfactory assurance of notice to the individual or efforts to secure a protective order,,.",,,§ 164.512(e)(1)(ii),,"Clinical, Admin, All Staff",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
162,"Scenario: Litigation and Subpoenas: A covered entity receives a subpoena for a patient's medical records for use in a civil case. The subpoena is not accompanied by a court order, and the patient has not provided a written authorization.",,,"What constitutes ""satisfactory assurance"" that an individual was notified of a records request in a lawsuit?",,A. A verbal confirmation from the requesting attorney.B. A copy of the lawsuit's initial filing document.C. A written statement and documentation that a good faith attempt was made to provide notice.D. A signed waiver from the individual's employer.,,,C. A written statement and documentation that a good faith attempt was made to provide notice.,,,,,,,,,,,,,,"Satisfactory assurance includes a written statement demonstrating that a good faith attempt was made to provide notice to the individual at their last known address,,.",,,§ 164.512(e)(1)(iii),,"Clinical, Admin, All Staff",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
163,"Scenario: Litigation and Subpoenas: A covered entity receives a subpoena for a patient's medical records for use in a civil case. The subpoena is not accompanied by a court order, and the patient has not provided a written authorization.",,,"A ""qualified protective order"" (QPO) must require the return to the covered entity or the destruction of the PHI at the:",,A. End of the calendar year.B. End of the litigation or proceeding.C. Time the records are six years old.D. Discretion of the court reporter.,,,B. End of the litigation or proceeding.,,,,,,,,,,,,,,"A QPO must require the return or destruction of the PHI (including all copies made) at the conclusion of the litigation or proceeding,.",,,§ 164.512(e)(1)(v)(B),,"Clinical, Admin, Management",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
164,"Scenario: Litigation and Subpoenas: A covered entity receives a subpoena for a patient's medical records for use in a civil case. The subpoena is not accompanied by a court order, and the patient has not provided a written authorization.",,,"If a covered entity discloses PHI in response to an order of a court or administrative tribunal, the entity must disclose:",,A. The entire medical record.B. Only the information expressly authorized by the order.C. Only demographic information.D. All records created within the last six years.,,,B. Only the information expressly authorized by the order.,,,,,,,,,,,,,,"The covered entity must disclose only the protected health information that is expressly authorized by the court order,.",,,§ 164.512(e)(1)(i),,"Clinical, Admin, All Staff",,,,Privacy Rule,,,,,Uses and disclosures: general,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,,,,,,,
165,"Scenario: Litigation and Subpoenas: A covered entity receives a subpoena for a patient's medical records for use in a civil case. The subpoena is not accompanied by a court order, and the patient has not provided a written authorization.",,,"When litigation involves the discovery of communications between doctors and patients about a diagnosis, which privacy principle still applies to limit the scope?",,A. The Preemption Standard.B. The Minimum Necessary Standard.C. The De-identification safe harbor.D. The Right of Access timeline.,,,B. The Minimum Necessary Standard.,,,,,,,,,,,,,,"Even in litigation, the organization should provide only the PHI that directly responds to the request, applying the minimum necessary principle,.",,,§ 164.514(d),,"All Staff, Clinical",,,,Privacy Rule,,,,,Minimum necessary: uses,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define rolebased access.,,,,,,,,,,,
166,"Scenario: De-identification Standards: A startup application collects PHI from 100 patients. A researcher requests a dataset for a study. The startup hires an expert to de-identify the PHI. Later, the researcher manages to re-identify some patients using external data.",,,"To determine that health information is NOT individually identifiable using the ""Expert Determination"" method, the expert must:",,A. Sign a BAA with the researcher.B. Remove all 18 specified identifiers.C. Determine that the risk of re-identification is very small.D. Encrypt the data with a key held only by the clinic.,,,C. Determine that the risk of re-identification is very small.,,,,,,,,,,,,,,"Under the expert determination method, a person with appropriate knowledge determines that the risk is very small that the info could be used to identify an individual,,.",,,§ 164.514(b)(1),,"IT Staff, All Staff, Management",,,,Privacy Rule,,,,,Deidentification and reidentification,,,"Standards for deidentifying PHI, creating limited data sets, and conditions for reidentification.",,,,,,,,,,,
167,"Scenario: De-identification Standards: A startup application collects PHI from 100 patients. A researcher requests a dataset for a study. The startup hires an expert to de-identify the PHI. Later, the researcher manages to re-identify some patients using external data.",,,"Under the ""Safe Harbor"" method of de-identification, which geographic element must be removed?",,"A. The state of residence.B. The initial three digits of a ZIP code if the unit contains more than 20,000 people.C. All geographic subdivisions smaller than a State (e.g., street address, city, precinct).D. Only the full street address.",,,"C. All geographic subdivisions smaller than a State (e.g., street address, city, precinct).",,,,,,,,,,,,,,"The safe harbor method requires removal of all geographic subdivisions smaller than a state, with limited exceptions for certain ZIP code populations,.",,,§ 164.514(b)(2)(i)(B),,"IT Staff, All Staff, Management",,,,Privacy Rule,,,,,Deidentification and reidentification,,,"Standards for deidentifying PHI, creating limited data sets, and conditions for reidentification.",,,,,,,,,,,
168,"Scenario: De-identification Standards: A startup application collects PHI from 100 patients. A researcher requests a dataset for a study. The startup hires an expert to de-identify the PHI. Later, the researcher manages to re-identify some patients using external data.",,,Which of the following is an identifier that must be removed under the safe harbor method for information to be considered de-identified?,,A. Year of birth.B. Full-face photographic images and any comparable images.C. The name of the treating facility.D. The diagnosis code.,,,B. Full-face photographic images and any comparable images.,,,,,,,,,,,,,,"The safe harbor standard requires removal of 18 identifiers, including full-face photos and comparable images,.",,,§ 164.514(b)(2)(i)(Q),,"IT Staff, All Staff, Clinical",,,,Privacy Rule,,,,,Deidentification and reidentification,,,"Standards for deidentifying PHI, creating limited data sets, and conditions for reidentification.",,,,,,,,,,,
169,"Scenario: De-identification Standards: A startup application collects PHI from 100 patients. A researcher requests a dataset for a study. The startup hires an expert to de-identify the PHI. Later, the researcher manages to re-identify some patients using external data.",,,"If the startup properly de-identified the data per § 164.514, and the researcher later re-identified individuals using external data, is the startup liable under HIPAA?",,"A. Yes, the re-identification proves de-identification failed.B. No, properly de-identified data is no longer PHI and researcher misuse is not the startup's liability.C. Yes, because a BAA was not signed by the researcher.D. No, provided the researcher is a health care provider.",,,"B. No, properly de-identified data is no longer PHI and researcher misuse is not the startup's liability.",,,,,,,,,,,,,,"Once data is properly de-identified, it is no longer PHI and HIPAA does not apply: re-identification by an external party is not the original entity's liability,.",,,§ 164.514,,"IT Staff, Management",,,,Privacy Rule,,,,,Deidentification and reidentification,,,"Standards for deidentifying PHI, creating limited data sets, and conditions for reidentification.",,,,,,,,,,,
170,"Scenario: De-identification Standards: A startup application collects PHI from 100 patients. A researcher requests a dataset for a study. The startup hires an expert to de-identify the PHI. Later, the researcher manages to re-identify some patients using external data.",,,"If an organization assigns a code to allow de-identified info to be re-identified by the organization, the code must not:",,A. Be alphanumeric.B. Be derived from or related to information about the individual.C. Be stored for more than six months.D. Be shared with the Privacy Official.,,,B. Be derived from or related to information about the individual.,,,,,,,,,,,,,,"A code for re-identification must not be derived from info about the individual and must not be capable of being translated to identify the individual,.",,,§ 164.514(c)(1),,"IT Staff, Management",,,,Privacy Rule,,,,,Deidentification and reidentification,,,"Standards for deidentifying PHI, creating limited data sets, and conditions for reidentification.",,,,,,,,,,,
171,"Scenario: Facility Directory Disclosures: Ms. Harper is admitted and agrees to be listed in the facility directory. A day later, her adult daughter calls asking for Ms. Harper's specific medical prognosis.",,,Which information may the clinic disclose to the daughter from the directory if she asks for Ms. Harper by name?,,"A. Name, location, condition in general terms, and religious affiliation.B. Name, prognosis, and detailed vitals.C. Name, location, and condition in general terms, but not religious affiliation.D. Only the patient's room number.",,,"C. Name, location, and condition in general terms, but not religious affiliation.",,,,,,,,,,,,,,"A provider may disclose directory info (name, location, condition) to persons asking by name, but religious affiliation is excluded for non-clergy,,.",,,§ 164.510(a)(1)(ii)(B),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
172,"Scenario: Facility Directory Disclosures: Ms. Harper is admitted and agrees to be listed in the facility directory. A day later, her adult daughter calls asking for Ms. Harper's specific medical prognosis.",,,Under what condition is a provider allowed to disclose a patient's religious affiliation to a member of the clergy?,,A. Only if the patient provides written authorization.B. Only if the clergy member asks for the patient by name.C. Disclosures to clergy for directory purposes may include religious affiliation.D. Disclosures to clergy are prohibited for all directory information.,,,C. Disclosures to clergy for directory purposes may include religious affiliation.,,,,,,,,,,,,,,"A healthcare provider may disclose the permitted directory information, including religious affiliation, specifically to members of the clergy,,.",,,§ 164.510(a)(1)(ii)(A),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
173,"Scenario: Facility Directory Disclosures: Ms. Harper is admitted and agrees to be listed in the facility directory. A day later, her adult daughter calls asking for Ms. Harper's specific medical prognosis.",,,"If an individual is incapacitated (emergency), the provider may include them in the directory if the disclosure is consistent with prior preferences and:",,A. The individual's primary care physician authorizes it.B. In the individual's best interest as determined by the provider's professional judgment.C. The individual is a minor.D. A court order is obtained.,,,B. In the individual's best interest as determined by the provider's professional judgment.,,,,,,,,,,,,,,"In emergency circumstances where an opportunity to object cannot be provided, the provider may disclose directory info if it is in the individual's best interest,,.",,,§ 164.510(a)(3)(i)(B),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
174,"Scenario: Facility Directory Disclosures: Ms. Harper is admitted and agrees to be listed in the facility directory. A day later, her adult daughter calls asking for Ms. Harper's specific medical prognosis.",,,"When a patient is incapacitated, a provider may disclose PHI to a relative involved in the patient's care if the PHI is:",,A. The entire medical record.B. Directly relevant to the person's involvement with the individual's care or payment.C. Limited to name and room number.D. Required for health oversight activities.,,,B. Directly relevant to the person's involvement with the individual's care or payment.,,,,,,,,,,,,,,"If the individual is incapacitated, the provider may disclose PHI directly relevant to the person's involvement with the care or payment,,.",,,§ 164.510(b)(3),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
175,"Scenario: Facility Directory Disclosures: Ms. Harper is admitted and agrees to be listed in the facility directory. A day later, her adult daughter calls asking for Ms. Harper's specific medical prognosis.",,,"Before including a patient in a directory, a provider MUST:",,A. Obtain a signed HIPAA authorization.B. Inform the individual and provide an opportunity to restrict or prohibit the disclosure.C. Perform a risk analysis of the directory database.D. Notify the patient's health plan.,,,B. Inform the individual and provide an opportunity to restrict or prohibit the disclosure.,,,,,,,,,,,,,,"Providers must inform individuals of the PHI included in a directory and provide the opportunity to object or restrict the use,.",,,§ 164.510(a)(2),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
176,"Scenario: Deceased Individuals and Executors: Ms. Finch passes away in a medical facility. Her adult son, who is the legal executor of her estate, requests a complete copy of her medical records.",,,How long must the medical facility continue to protect Ms. Finch's PHI under the Privacy Rule after her death?,,A. For 6 years from the date of her death.B. For 10 years after her death.C. For 50 years following the death of the individual.D. Protection ends immediately upon death.,,,C. For 50 years following the death of the individual.,,,,,,,,,,,,,,"A covered entity must comply with Privacy Rule requirements regarding the PHI of a deceased individual for 50 years following their death,,.",,,§ 164.502(f),,"Clinical Staff, All Staff",,,,Privacy Rule,,,,,Deceased individuals’ PHI,,,Obligation to protect PHI of deceased individuals for 50 years: OCR tests related policies and sample cases.,,,,,,,,,,,
177,"Scenario: Deceased Individuals and Executors: Ms. Finch passes away in a medical facility. Her adult son, who is the legal executor of her estate, requests a complete copy of her medical records.",,,"Why must the provider treat Ms. Finch's executor as ""the individual"" for the purpose of granting access to her medical records?",,A. The executor is a family member.B. The executor has authority under law to act on behalf of the deceased individual or the estate.C. The executor has a medical power of attorney.D. The PHI is needed for public health activities.,,,B. The executor has authority under law to act on behalf of the deceased individual or the estate.,,,,,,,,,,,,,,"If a person has authority under law to act on behalf of a deceased individual or their estate, the entity must treat them as a personal representative,,.",,,§ 164.502(g)(4),,"Clinical Staff, Management",,,,Privacy Rule,,,,,Personal representatives,,,"Requirement to recognize personal representatives for adults, minors, and decedents, with exceptions for abuse/neglect/endangerment.",,,,,,,,,,,
178,"Scenario: Deceased Individuals and Executors: Ms. Finch passes away in a medical facility. Her adult son, who is the legal executor of her estate, requests a complete copy of her medical records.",,,"The provider may disclose PHI relevant to Ms. Finch's care to her family members involved prior to her death, UNLESS:",,A. The family member is not the legal executor.B. The disclosure is inconsistent with any known prior expressed preference of the deceased.C. The PHI is in electronic form.D. The disclosure is for healthcare operations.,,,B. The disclosure is inconsistent with any known prior expressed preference of the deceased.,,,,,,,,,,,,,,"Disclosure to involved family/persons is permitted after death unless inconsistent with the individual's prior expressed preference known to the entity,,.",,,§ 164.510(b)(5),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures requiring an opportunity for the individual to agree or to object,,,Permitted uses/disclosures for facility directories and for involvement in the individual's care: opportunity to agree or object.,,,,,,,,,,,
179,"Scenario: Deceased Individuals and Executors: Ms. Finch passes away in a medical facility. Her adult son, who is the legal executor of her estate, requests a complete copy of her medical records.",,,"If a coroner or medical examiner requests PHI regarding Ms. Finch, the provider is permitted to disclose it for:",,A. Determining the cause of death or other duties authorized by law.B. Marketing funeral services.C. Billing the estate for previous services.D. Creating a limited data set for research.,,,A. Determining the cause of death or other duties authorized by law.,,,,,,,,,,,,,,"Disclosures to coroners or medical examiners are permitted for identifying a deceased person, determining cause of death, or other legal duties,,.",,,§ 164.512(g)(1),,Clinical Staff,,,,Privacy Rule,,,,,Uses and disclosures: general,,,Permitted and required uses and disclosures of PHI: OCR reviews policies and actual disclosures.,,,,,,,,,,,
